Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,953.0,Electrolux Group,Consumer Durables,Sweden,16200.0,450,9890.0,4560.0,
2009,1394.0,Electrolux Group,Consumer Durables,Sweden,13460.0,50,8870.0,1950.0,
2010,790.0,Electrolux Group,Consumer Durables,Sweden,15240.0,360,9800.0,6090.0,
2011,804.0,Electrolux Group,Consumer Durables,Sweden,15834.0,595.2,10493.0,7012.0,
2012,,Electrolux Group,Consumer Durables,Sweden,14729.0,299.2,10708.0,6842.0,1098.0
2013,,Electrolux Group,Consumer Durables,Sweden,16923.0,399.0,11198.0,8096.0,943.0
2014,,Electrolux Group,Consumer Durables,Sweden,16754.0,103.0,11833.0,6302.0,1351.0
2015,,Electrolux Group,Consumer Durables,Sweden,16334.0,326.4,10946.0,9147.0,1174.0
2016,,Electrolux Group,Consumer Durables,Sweden,14640.0,185.6,9901.0,8203.0,1346.0
2017,,Electrolux Group,Consumer Durables,Sweden,14143.0,524.9,9450.0,8041.0,1135.0
2018,,Electrolux Group,Consumer Durables,Sweden,14514.0,624.8,10652.0,7605.0,1254.0
2019,,Electrolux Group,Consumer Durables,Sweden,14266.0,437.0,10976.0,7408.0,1455.0
2020,,Electrolux Group,Consumer Durables,Sweden,13311.0,265.2,11410.0,3968.0,1965.0
2021,,Electrolux Group,Consumer Durables,Sweden,12598.0,456.8,12128.0,8545.0,1501
2022,1898,Electrolux Group,Consumer Durables,Sweden,14634.0,544.9,12080.0,4204.0,
