Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1698.0,IDBI Bank,Banking,India,2510.0,190,33040.0,690.0,
2010,1642.0,IDBI Bank,Banking,India,2610.0,150,34310.0,1870.0,
2011,1423.0,IDBI Bank,Banking,India,3987.0,227.7,52514.0,2933.0,
2012,,IDBI Bank,Banking,India,4683.0,351.0,56759.0,2106.0,1281.0
2013,,IDBI Bank,Banking,India,5037.0,393.7,56875.0,2106.0,1197.0
2014,,IDBI Bank,Banking,India,5212.0,347.1,59378.0,1722.0,1290.0
2015,,IDBI Bank,Banking,India,4917.0,190.6,55152.0,1860.0,1525.0
2016,,IDBI Bank,Banking,India,5299.0,154.0,56954.0,2243.0,1446.0
2017,,IDBI Bank,Banking,India,4838.0,-548.5,56591.0,2414.0,1524.0
2018,,IDBI Bank,Banking,India,4774.0,-748.0,55807.0,3075.0,1618.0
2019,,IDBI Bank,Banking,India,4619.0,-1262.0,53915.0,4842.0,1732.0
2020,,IDBI Bank,Banking,India,3577.0,-2536.7,41863.0,2972.0,1948.0
