Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,1634.0,China Shipbuilding Industry,Capital Goods,China,2651.0,218.3,6095.0,18950.0,
2012,,China Shipbuilding Industry,Capital Goods,China,3106.0,242.6,6652.0,14824.0,1791.0
2013,,China Shipbuilding Industry,Capital Goods,China,9222.0,747.6,25337.0,12110.0,653.0
2014,,China Shipbuilding Industry,Capital Goods,China,7877.0,417.3,28572.0,13215.0,822.0
2015,,China Shipbuilding Industry,Capital Goods,China,8936.0,407.7,34213.0,30545.0,694.0
2016,,China Shipbuilding Industry,Capital Goods,China,9774.0,-58.4,32759.0,18184.0,852.0
2017,,China Shipbuilding Industry,Capital Goods,China,8192.0,-204.0,28630.0,20388.0,939.0
2018,,China Shipbuilding Industry,Capital Goods,China,5134.0,126.0,31977.0,18638.0,1169.0
2019,,China Shipbuilding Industry,Capital Goods,China,6483.0,175.0,30054.0,23033.0,1052.0
2020,,China Shipbuilding Industry,Capital Goods,China,5469.0,72.5,26222.0,13483.0,1323.0
2021,,China Shipbuilding Industry,Capital Goods,China,5472.0,-118.9,25701.0,14682.0,1534
2022,1664,China Shipbuilding Industry,Capital Goods,China,5339.0,-48.2,28597.0,13462.0,
