Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1413.0,Power Grid of India,Utilities,India,830.0,250,8500.0,11540.0,
2009,1085.0,Power Grid of India,Utilities,India,1150.0,360,10780.0,7940.0,
2010,1093.0,Power Grid of India,Utilities,India,1280.0,330,10710.0,9780.0,
2011,1119.0,Power Grid of India,Utilities,India,1590.0,455.3,14159.0,10028.0,
2012,,Power Grid of India,Utilities,India,1933.0,599.8,17418.0,9926.0,1057.0
2013,,Power Grid of India,Utilities,India,2004.0,649.4,18220.0,9312.0,1056.0
2014,,Power Grid of India,Utilities,India,2395.0,792.4,22019.0,9456.0,1011.0
2015,,Power Grid of India,Utilities,India,2561.0,752.5,24255.0,12452.0,980.0
2016,,Power Grid of India,Utilities,India,2857.0,825.3,25939.0,11496.0,942.0
2017,,Power Grid of India,Utilities,India,3233.0,918.7,27827.0,15907.0,884.0
2018,,Power Grid of India,Utilities,India,3833.0,1111.1,32410.0,16109.0,904.0
2019,,Power Grid of India,Utilities,India,4645.0,1272.0,35955.0,14651.0,865.0
2020,,Power Grid of India,Utilities,India,5002.0,1434.5,35552.0,11289.0,845.0
2021,,Power Grid of India,Utilities,India,5299.0,1595.2,35039.0,14770.0,796
2022,822,Power Grid of India,Utilities,India,5605.0,2190.3,34558.0,20565.0,
