Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1905.0,Tencent Holdings,IT Software & Services,China,360.0,140,580.0,11370.0,
2009,1535.0,Tencent Holdings,IT Software & Services,China,520.0,210,920.0,10420.0,
2010,1073.0,Tencent Holdings,IT Software & Services,China,1050.0,410,1400.0,36390.0,
2011,939.0,Tencent Holdings,IT Software & Services,China,2981.0,1221.9,5404.0,51076.0,
2012,,Tencent Holdings,IT Software & Services,China,4527.0,1621.1,8994.0,51318.0,791.0
2013,,Tencent Holdings,IT Software & Services,China,6957.0,2018.0,12070.0,65009.0,591.0
2014,,Tencent Holdings,IT Software & Services,China,9836.0,2521.1,17713.0,135408.0,426.0
2015,,Tencent Holdings,IT Software & Services,China,12810.0,3865.7,27590.0,181110.0,304.0
2016,,Tencent Holdings,IT Software & Services,China,16349.0,4584.4,47249.0,197439.0,201.0
2017,,Tencent Holdings,IT Software & Services,China,22831.0,6185.0,56968.0,277122.0,148.0
2018,,Tencent Holdings,IT Software & Services,China,35269.0,10605.5,85177.0,491253.0,105.0
2019,,Tencent Holdings,IT Software & Services,China,47228.0,11949.0,105382.0,472062.0,74.0
2020,,Tencent Holdings,IT Software & Services,China,54554.0,13540.7,136955.0,509673.0,50.0
2021,,Tencent Holdings,IT Software & Services,China,69990.0,23326.7,203894.0,773802.0,29
2022,28,Tencent Holdings,IT Software & Services,China,86855.0,34942.8,252985.0,414283.0,
