Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,775.0,Samsung Fire & Marine,Insurance,South Korea,9400.0,360,19650.0,9460.0,
2009,657.0,Samsung Fire & Marine,Insurance,South Korea,10040.0,480,20970.0,4850.0,
2010,726.0,Samsung Fire & Marine,Insurance,South Korea,7240.0,430,16730.0,7540.0,
2011,688.0,Samsung Fire & Marine,Insurance,South Korea,10076.0,463.1,23609.0,9932.0,
2012,,Samsung Fire & Marine,Insurance,South Korea,13649.0,606.3,28868.0,8815.0,640.0
2013,,Samsung Fire & Marine,Insurance,South Korea,14663.0,702.0,34542.0,8244.0,612.0
2014,,Samsung Fire & Marine,Insurance,South Korea,16681.0,623.5,45670.0,9371.0,596.0
2015,,Samsung Fire & Marine,Insurance,South Korea,17803.0,794.1,51730.0,11275.0,543.0
2016,,Samsung Fire & Marine,Insurance,South Korea,16915.0,716.8,52781.0,12241.0,490.0
2017,,Samsung Fire & Marine,Insurance,South Korea,17188.0,739.5,55545.0,10396.0,553.0
2018,,Samsung Fire & Marine,Insurance,South Korea,17579.0,855.0,69871.0,11959.0,568.0
2019,,Samsung Fire & Marine,Insurance,South Korea,18558.0,973.0,70463.0,11198.0,546.0
2020,,Samsung Fire & Marine,Insurance,South Korea,19147.0,551.4,72969.0,6646.0,728.0
2021,,Samsung Fire & Marine,Insurance,South Korea,17972.0,639.9,84377.0,7273.0,728
2022,801,Samsung Fire & Marine,Insurance,South Korea,18335.0,980.0,78890.0,7358.0,
