Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2013,,Metallurgical Corp of China,Construction,China,34061.0,-1102.0,56178.0,5923.0,830.0
2014,,Metallurgical Corp of China,Construction,China,32068.0,484.4,53335.0,4978.0,759.0
2015,,Metallurgical Corp of China,Construction,China,34083.0,644.5,52569.0,15805.0,451.0
2016,,Metallurgical Corp of China,Construction,China,33646.0,762.5,53029.0,11028.0,434.0
2017,,Metallurgical Corp of China,Construction,China,32438.0,806.2,54344.0,15403.0,398.0
2018,,Metallurgical Corp of China,Construction,China,38159.0,952.0,67034.0,11395.0,510.0
2019,,Metallurgical Corp of China,Construction,China,43185.0,959.0,63929.0,10899.2,509.0
2020,,Metallurgical Corp of China,Construction,China,49782.0,963.6,67585.0,3609.0,620.0
2021,,Metallurgical Corp of China,Construction,China,57912.0,1148.8,77432.0,5468.0,542
2022,618,Metallurgical Corp of China,Construction,China,77295.0,1298.8,85272.0,5151.0,
