Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,224.0,BCE,Telecommunications Services,Canada,18010.0,4090,38100.0,29330.0,
2009,354.0,BCE,Telecommunications Services,Canada,14340.0,760,32130.0,15720.0,
2010,239.0,BCE,Telecommunications Services,Canada,16920.0,1660,36290.0,21990.0,
2011,262.0,BCE,Telecommunications services,Canada,17548.0,2102.6,39525.0,26868.0,
2012,,BCE,Telecommunications services,Canada,19148.0,2298.1,38719.0,31005.0,263.0
2013,,BCE,Telecommunications services,Canada,19989.0,2764.9,41178.0,35561.0,240.0
2014,,BCE,Telecommunications services,Canada,19798.0,2043.9,42714.0,33737.0,290.0
2015,,BCE,Telecommunications services,Canada,19052.0,2263.6,39972.0,36254.0,295.0
2016,,BCE,Telecommunications services,Canada,16816.0,2093.2,34550.0,39921.0,308.0
2017,,BCE,Telecommunications services,Canada,16393.0,2287.7,37365.0,40536.0,296.0
2018,,BCE,Telecommunications services,Canada,17862.0,2260.3,43939.0,37772.0,333.0
2019,,BCE,Telecommunications Services,Canada,18106.0,2260.0,41807.0,40860.0,341.0
2020,,BCE,Telecommunications Services,Canada,18060.0,2404.9,46382.0,36647.0,300.0
2021,,BCE,Telecommunications Services,Canada,17090.0,1806.5,47618.0,42058.0,301
2022,348,BCE,Telecommunications Services,Canada,18703.0,2265.2,52855.0,51827.0,
