Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,452.0,WPP,Media,United Kingdom,12270.0,920,34120.0,14020.0,
2009,483.0,WPP,Media,United Kingdom,10920.0,640,35080.0,6530.0,
2010,378.0,WPP,Media,United Kingdom,14020.0,710,35980.0,11640.0,
2011,417.0,WPP,Media,Ireland,14557.0,914.2,37992.0,15767.0,
2012,,WPP,Media,Ireland,15562.0,1304.5,38953.0,17169.0,369.0
2013,,WPP,Media,United Kingdom,16867.0,1337.7,40290.0,20711.0,355.0
2014,,WPP,Media,United Kingdom,17224.0,1463.8,41415.0,27726.0,346.0
2015,,WPP,Media,United Kingdom,18983.0,1773.7,41716.0,30137.0,315.0
2016,,WPP,Media,United Kingdom,18693.0,1772.6,42373.0,30054.0,301.0
2017,,WPP,Media,United Kingdom,19415.0,1889.2,42714.0,27433.0,308.0
2018,,WPP,Media,United Kingdom,19659.0,2339.5,45545.0,22481.0,369.0
2019,,WPP,Media,United Kingdom,20804.0,1417.0,43134.0,15159.0,487.0
2020,,WPP,Media,United Kingdom,16883.0,702.0,41503.0,9485.0,665.0
2021,,WPP,Media,United Kingdom,15392.0,-3815.5,49470.0,16325.0,846
2022,756,WPP,Media,United Kingdom,17605.0,877.0,38052.0,14797.0,
