Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1714.0,Couche Tard,Food Markets,Canada,12380.0,200,3040.0,3450.0,
2009,1489.0,Couche Tard,Food Markets,Canada,17170.0,210,3320.0,1990.0,
2010,1279.0,Couche Tard,Food Markets,Canada,14410.0,290,3500.0,3430.0,
2011,1247.0,Couche Tard,Food Markets,Canada,18128.0,374.9,3698.0,4758.0,
2012,,Couche Tard,Food Markets,Canada,21671.0,404.3,4184.0,5766.0,1157.0
2013,,Couche Tard,Retailing,Canada,32974.0,538.4,10508.0,10227.0,754.0
2014,,Couche Tard,Retailing,Canada,37709.0,812.3,10367.0,15303.0,638.0
2015,,Couche Tard,Food Markets,Canada,36207.0,948.5,8882.0,22979.0,656.0
2016,,Couche Tard,Food Markets,Canada,34114.0,1129.4,11200.0,24482.0,538.0
2017,,Couche Tard,Food Markets,Canada,35668.0,1138.7,13785.0,25856.0,517.0
2018,,Couche Tard,Food Markets,Canada,47213.0,1535.0,22942.0,23649.0,448.0
2019,,Couche Tard,Food Markets,Canada,59671.0,1954.0,22247.0,33683.0,364.0
2020,,Couche Tard,Food Markets,Canada,57539.0,2068.3,24839.0,31115.0,325.0
2021,,Couche Tard,Food Markets,Canada,43059.0,2718.4,27518.0,35944.0,303
2022,335,Couche Tard,Food Markets,Canada,58662.0,2768.1,28826.0,46648.0,
