Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,542.0,Sodexo,Business Services & Supplies,France,19930.0,550,14460.0,7130.0,
2010,506.0,Sodexo,Business Services & Supplies,France,21030.0,560,14800.0,9400.0,
2011,648.0,Sodexo,Business Services & Supplies,France,19360.0,519.0,14760.0,10392.0,
2012,,Sodexo,Business Services & Supplies,France,23056.0,648.0,16206.0,12469.0,590.0
2013,,Sodexo,Business Services & Supplies,France,22938.0,660.4,15909.0,14326.0,592.0
2014,,Sodexo,Business Services & Supplies,France,24059.0,574.1,16625.0,16532.0,613.0
2015,,Sodexo,Business Services & Supplies,France,24511.0,666.7,19070.0,15757.0,607.0
2016,,Sodexo,Business Services & Supplies,France,22548.0,788.3,15348.0,15896.0,594.0
2017,,Sodexo,Business Services & Supplies,France,22483.0,707.4,15768.0,17478.0,641.0
2018,,Sodexo,Business Services & Supplies,France,23495.0,862.1,19109.0,14829.0,699.0
2019,,Sodexo,Business Services & Supplies,France,24662.0,749.0,20171.0,16851.0,662.0
2020,,Sodexo,Business Services & Supplies,France,25157.0,755.8,21474.0,11565.0,673.0
2021,,Sodexo,Business Services & Supplies,France,18781.0,-764.0,21916.0,14762.0,1049
2022,1152,Sodexo,Business Services & Supplies,France,22330.0,518.1,22074.0,11334.0,
